Date,IHSG,USD_IDR,Gold,SP500
2010-05-04,2958.89990234375,9069.7001953125,1168.5999755859375,1173.5999755859375
2010-05-05,2846.128173828125,9116.5,1174.5999755859375,1165.8699951171875
2010-05-06,2810.506591796875,9273.400390625,1196.9000244140625,1128.1500244140625
2010-05-07,2739.226318359375,9220.2998046875,1210.0,1110.8800048828125
2010-05-10,2850.31591796875,9203.2001953125,1200.4000244140625,1159.72998046875
2010-05-11,2812.78173828125,9186.7001953125,1219.9000244140625,1155.7900390625
2010-05-12,2847.510986328125,9179.0,1242.699951171875,1171.6700439453125
2010-05-13,2847.510986328125,9103.7001953125,1228.800048828125,1157.43994140625
2010-05-14,2858.27392578125,9104.2001953125,1227.4000244140625,1135.6800537109375
2010-05-17,2819.360107421875,9078.7998046875,1227.699951171875,1136.93994140625
2010-05-18,2834.07568359375,9283.5,1214.300048828125,1120.800048828125
2010-05-19,2729.377685546875,9123.900390625,1192.5999755859375,1115.050048828125
2010-05-20,2694.144287109375,9121.099609375,1187.800048828125,1071.5899658203125
2010-05-21,2623.118896484375,9260.599609375,1175.699951171875,1087.68994140625
2010-05-24,2609.508544921875,9282.400390625,1193.800048828125,1073.6500244140625
2010-05-25,2514.02099609375,9283.900390625,1197.800048828125,1074.030029296875
2010-05-26,2696.675048828125,9376.2001953125,1213.300048828125,1067.949951171875
2010-05-27,2713.8173828125,9215.0,1211.9000244140625,1103.06005859375
2010-05-28,2713.8173828125,9295.599609375,1212.199951171875,1089.4100341796875
2010-05-31,2796.84814453125,9284.599609375,1212.199951171875,1089.4100341796875
2010-06-01,2724.509033203125,9245.099609375,1224.800048828125,1070.7099609375
2010-06-02,2733.57177734375,9242.099609375,1220.5999755859375,1098.3800048828125
2010-06-03,2810.86767578125,9237.5,1208.300048828125,1102.8299560546875
2010-06-04,2823.14111328125,9282.7001953125,1216.199951171875,1064.8800048828125
2010-06-07,2750.1259765625,9318.099609375,1239.300048828125,1050.469970703125
2010-06-08,2779.874755859375,9223.400390625,1244.0,1062.0
2010-06-09,2785.684814453125,9281.2001953125,1228.5,1055.68994140625
2010-06-10,2770.679443359375,9193.400390625,1220.800048828125,1086.8399658203125
2010-06-11,2801.789794921875,9196.599609375,1228.9000244140625,1091.5999755859375
2010-06-14,2826.72705078125,9205.2001953125,1223.300048828125,1089.6300048828125
2010-06-15,2830.06298828125,9141.0,1233.199951171875,1115.22998046875
2010-06-16,2858.5478515625,9163.2998046875,1229.300048828125,1114.6099853515625
2010-06-17,2890.9853515625,9142.900390625,1247.5,1116.0400390625
2010-06-18,2929.47509765625,9071.5,1257.199951171875,1117.510009765625
2010-06-21,2941.78857421875,8997.900390625,1239.699951171875,1113.199951171875
2010-06-22,2934.474853515625,9012.0,1239.9000244140625,1095.31005859375
2010-06-23,2924.676025390625,8979.5,1234.0999755859375,1092.0400390625
2010-06-24,2913.981689453125,9065.5,1245.5,1073.68994140625
2010-06-25,2946.908203125,9065.599609375,1255.800048828125,1076.760009765625
2010-06-28,2955.616943359375,9059.099609375,1238.199951171875,1074.5699462890625
2010-06-29,2893.258544921875,9077.099609375,1242.0,1041.239990234375
2010-06-30,2913.57080078125,9044.7998046875,1245.5,1030.7099609375
2010-07-01,2874.13623046875,9035.7001953125,1206.300048828125,1027.3699951171875
2010-07-02,2871.442138671875,9062.7001953125,1207.4000244140625,1022.5800170898438
2010-07-05,2877.19189453125,9085.099609375,1207.4000244140625,1022.5800170898438
2010-07-06,2910.53466796875,9023.599609375,1194.800048828125,1028.06005859375
2010-07-07,2901.93115234375,9060.2998046875,1198.5999755859375,1060.27001953125
2010-07-08,2915.794677734375,9044.900390625,1195.800048828125,1070.25
2010-07-09,2943.781494140625,9034.099609375,1209.5999755859375,1077.9599609375
2010-07-12,2958.676025390625,9072.099609375,1198.5,1078.75
2010-07-13,2961.396728515625,8977.900390625,1213.300048828125,1095.3399658203125
2010-07-14,2980.94287109375,9018.7998046875,1206.800048828125,1095.1700439453125
2010-07-15,2980.480712890625,9037.400390625,1208.0999755859375,1096.47998046875
2010-07-16,2992.33349609375,9034.0,1188.0,1064.8800048828125
2010-07-19,2975.456298828125,9079.5,1181.699951171875,1071.25
2010-07-20,2995.324462890625,9037.7001953125,1191.5,1083.47998046875
2010-07-21,3013.28369140625,9090.599609375,1191.5999755859375,1069.5899658203125
2010-07-22,3009.805908203125,8995.5,1195.5,1093.6700439453125
2010-07-23,3041.901611328125,8977.5,1187.699951171875,1102.6600341796875
2010-07-26,3023.581298828125,8917.099609375,1183.0,1115.010009765625
2010-07-27,3041.5595703125,8921.900390625,1158.0,1113.8399658203125
2010-07-28,3057.35595703125,9025.0,1160.4000244140625,1106.1300048828125
2010-07-29,3096.6953125,8970.599609375,1168.4000244140625,1101.530029296875
2010-07-30,3069.16064453125,8923.599609375,1181.699951171875,1101.5999755859375
2010-08-02,3058.85986328125,8831.7998046875,1183.4000244140625,1125.8599853515625
2010-08-03,2973.540283203125,8798.2998046875,1185.199951171875,1120.4599609375
2010-08-04,2983.130859375,8798.099609375,1193.699951171875,1127.239990234375
2010-08-05,3044.822509765625,8942.099609375,1197.199951171875,1125.81005859375
2010-08-06,3060.473876953125,8925.7998046875,1203.4000244140625,1121.6400146484375
2010-08-09,3082.477783203125,8863.5,1200.699951171875,1127.7900390625
2010-08-10,3057.041748046875,8935.599609375,1196.199951171875,1121.06005859375
2010-08-11,3035.199951171875,8883.2998046875,1197.5,1089.469970703125
2010-08-12,3025.5263671875,9005.7001953125,1214.800048828125,1083.6099853515625
2010-08-13,3052.89111328125,9026.7998046875,1214.9000244140625,1079.25
2010-08-16,3052.480224609375,8954.7001953125,1224.5,1079.3800048828125
2010-08-17,3052.480224609375,8924.599609375,1226.5999755859375,1092.5400390625
2010-08-18,3071.96728515625,8880.2001953125,1229.699951171875,1094.1600341796875
2010-08-19,3105.229248046875,8896.099609375,1233.800048828125,1075.6300048828125
