Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2023-12-28,7303.88818359375,6986.70405960083,7037.268295288086,7213.817415936195,317.1841239929199,266.61988830566406
2023-12-29,7272.796875,6989.021171569824,7042.071380615234,7225.6091468589,283.7757034301758,230.72549438476562
2024-01-01,7298.1923828125,6991.482189178467,7046.873886108398,7241.684307995645,306.7101936340332,251.31849670410156
2024-01-02,7323.587890625,6993.809631347656,7051.615547180176,7251.386353109425,329.77825927734375,271.9723434448242
2024-01-03,7279.0908203125,6996.243545532227,7056.550842285156,7261.99347151324,282.84727478027344,222.53997802734375
2024-01-04,7359.76318359375,6998.501571655273,7060.985580444336,7273.242915251714,361.26161193847656,298.77760314941406
2024-01-05,7350.619140625,7000.688041687012,7065.644577026367,7272.171348207776,349.9310989379883,284.9745635986328
2024-01-08,7283.5751953125,7003.177917480469,7070.570510864258,7272.555655523247,280.39727783203125,213.0046844482422
2024-01-09,7200.203125,7005.235488891602,7074.584060668945,7276.474880650625,194.96763610839844,125.61906433105469
2024-01-10,7227.296875,7006.044906616211,7076.363372802734,7277.393907252423,221.25196838378906,150.93350219726562
2024-01-11,7219.9638671875,7005.716735839844,7076.378982543945,7268.071912511543,214.24713134765625,143.5848846435547
2024-01-12,7241.13818359375,7004.85758972168,7075.21369934082,7255.599780267847,236.2805938720703,165.9244842529297
2024-01-15,7224.0009765625,7003.761337280273,7073.5367431640625,7241.417066600887,220.23963928222656,150.4642333984375
2024-01-16,7242.787109375,7002.614776611328,7071.511932373047,7231.86164950901,240.17233276367188,171.27517700195312
2024-01-17,7200.634765625,7001.488876342773,7069.514419555664,7226.053997357609,199.14588928222656,131.12034606933594
2024-01-18,7252.966796875,7000.331787109375,7067.216812133789,7221.471398679525,252.635009765625,185.74998474121094
2024-01-19,7227.40185546875,6999.243721008301,7065.259841918945,7210.285809079622,228.15813446044922,162.1420135498047
2024-01-22,7247.92822265625,6998.4617919921875,7063.590118408203,7205.127340670355,249.4664306640625,184.33810424804688
2024-01-23,7256.22900390625,6997.839378356934,7062.327728271484,7202.900723208717,258.3896255493164,193.90127563476562
2024-01-24,7227.8232421875,6997.542594909668,7061.615997314453,7205.0145316922135,230.28064727783203,166.20724487304688
2024-01-25,7178.0419921875,6997.347213745117,7061.008010864258,7207.814890413749,180.6947784423828,117.03398132324219
2024-01-26,7137.087890625,6996.780952453613,7059.719879150391,7206.212388032436,140.30693817138672,77.36801147460938
2024-01-29,7157.1748046875,6995.51114654541,7057.22590637207,7200.032962896468,161.66365814208984,99.94889831542969
